Exchange,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
Nasdaq,YI,111: Inc.,9.5,75853272.5,7984555,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi
Nasdaq,PIH,1347 Property Insurance Holdings: Inc.,5.1,30522306.6,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih
Nasdaq,PIHPP,1347 Property Insurance Holdings: Inc.,25,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp
Nasdaq,TURN,180 Degree Capital Corp.,1.96,60998261.52,n/a,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn
Nasdaq,FLWS,1-800 FLOWERS.COM: Inc.,12.81,822124932.5,n/a,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws
Nasdaq,FCCY,1st Constitution Bancorp (NJ),20.05,168506054.6,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy
Nasdaq,SRCE,1st Source Corporation,47.72,1239053474,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce
Nasdaq,VNET,21Vianet Group: Inc.,9.61,596364925.4,62056704,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
Nasdaq,TWOU,2U: Inc.,57.84,3350243878,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
Nasdaq,TPNL,3PEA International: Inc.,3.68,160708415.2,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tpnl
Nasdaq,JOBS,51job: Inc.,64,2331914944,36436171,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
Nasdaq,EGHT,8x8 Inc,18.97,1809191304,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
Nasdaq,AAON,AAON: Inc.,38.06,1982718078,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
Nasdaq,ABEO,Abeona Therapeutics Inc.,7.81,374446435.7,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
Nasdaq,ABEOW,Abeona Therapeutics Inc.,4,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
Nasdaq,ABIL,Ability Inc.,2.72,8988721.44,n/a,2014,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil
Nasdaq,ABMD,ABIOMED: Inc.,331.99,14952672569,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd
Nasdaq,AXAS,Abraxas Petroleum Corporation,1.66,276564706.7,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas
Nasdaq,ACIU,AC Immune SA,11.33,763219277.7,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu
Nasdaq,ACIA,Acacia Communications: Inc.,41.39,1673945579,n/a,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
Nasdaq,ACTG,Acacia Research Corporation,3.17,157356641.2,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg
Nasdaq,ACHC,Acadia Healthcare Company: Inc.,33.8,2983056687,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc
Nasdaq,ACAD,ACADIA Pharmaceuticals Inc.,20.13,2517750832,n/a,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad
Nasdaq,ACST,Acasti Pharma: Inc.,0.68,53127425.56,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst
Nasdaq,AXDX,Accelerate Diagnostics: Inc.,13.96,756614452.3,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx
Nasdaq,XLRN,Acceleron Pharma Inc.,52.96,2446240618,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn
Nasdaq,ANCX,Access National Corporation,25.88,538237824.8,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ancx
Nasdaq,ARAY,Accuray Incorporated,4.06,351839640.6,n/a,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray
Nasdaq,ACRX,AcelRx Pharmaceuticals: Inc.,3.44,212961015.7,n/a,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx
Nasdaq,ACER,Acer Therapeutics Inc.,23.71,238356345.5,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
Nasdaq,ACET,Aceto Corporation,1.75,53839868.25,n/a,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/acet
Nasdaq,AKAO,Achaogen: Inc.,1.7,78403729.7,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akao
Nasdaq,ACHV,Achieve Life Sciences: Inc. ,1.55,10417709.65,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv
Nasdaq,ACHN,Achillion Pharmaceuticals: Inc.,2.84,393669922.8,n/a,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn
Nasdaq,ACIW,ACI Worldwide: Inc.,28.99,3362249909,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
Nasdaq,ACRS,Aclaris Therapeutics: Inc.,8.75,358191671.3,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs
Nasdaq,ACMR,ACM Research: Inc.,11,176041118,n/a,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr
Nasdaq,ACNB,ACNB Corporation,36.72,258463561,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb
Nasdaq,ACOR,Acorda Therapeutics: Inc.,20.13,957349364.1,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor
Nasdaq,ATVI,Activision Blizzard: Inc,52.56,40105945738,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi
Nasdaq,ADMS,Adamas Pharmaceuticals: Inc.,9.95,271988553.4,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms
Nasdaq,ADMP,Adamis Pharmaceuticals Corporation,2.77,130997061.7,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp
Nasdaq,ADAP,Adaptimmune Therapeutics plc,5.95,455438989.6,76544368,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap
Nasdaq,ADUS,Addus HomeCare Corporation,75.58,989973670.9,n/a,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus
Nasdaq,AEY,ADDvantage Technologies Group: Inc.,1.3385,13794775.08,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey
Nasdaq,IOTS,Adesto Technologies Corporation,5.14,150439997.5,n/a,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots
Nasdaq,ADIL,Adial Pharmaceuticals: Inc,2.8,18307027.2,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil
Nasdaq,ADILW,Adial Pharmaceuticals: Inc,0.358,0,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw
Nasdaq,ADMA,ADMA Biologics Inc,5.41,250750870.7,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma
Nasdaq,ADBE,Adobe Inc.,249.09,1.21589E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe
Nasdaq,ADOM,ADOMANI: Inc.,0.421,30620294.93,n/a,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom
Nasdaq,ADTN,ADTRAN: Inc.,12.4,590863038,n/a,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn
Nasdaq,ADRO,Aduro Biotech: Inc.,2.5,198510210,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro
Nasdaq,ADES,Advanced Emissions Solutions: Inc.,10.78,214690502.2,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades
Nasdaq,AEIS,Advanced Energy Industries: Inc.,46.65,1795514416,n/a,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis
Nasdaq,AMD,Advanced Micro Devices: Inc.,21.43,21417296639,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd
Nasdaq,ADXS,Advaxis: Inc.,0.4302,29896813.1,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs
Nasdaq,ADVM,Adverum Biotechnologies: Inc.,3.63,228212215.8,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm
Nasdaq,DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,21,3150000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwmc
Nasdaq,DWSH,AdvisorShares Dorsey Wright Short ETF,26.64,10656000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwsh
Nasdaq,ACT,AdvisorShares Vice ETF,24.3499,13392445,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act
Nasdaq,AEGN,Aegion Corp,18.97,612996390.3,n/a,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn
Nasdaq,AGLE,Aeglea BioTherapeutics: Inc.,8.55,188057523.6,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle
Nasdaq,AEHR,Aehr Test Systems,1.93,42933033.35,n/a,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr
Nasdaq,AMTX,Aemetis: Inc,0.7899,16070860.69,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx
Nasdaq,AERI,Aerie Pharmaceuticals: Inc.,41.07,1866779968,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri
Nasdaq,AVAV,AeroVironment: Inc.,91.68,2193959517,n/a,2007,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav
Nasdaq,ARPO,Aerpio Pharmaceuticals: Inc.,2,81159714,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arpo
Nasdaq,AEZS,AEterna Zentaris Inc.,3.14,51623986.4,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs
Nasdaq,AEMD,Aethlon Medical: Inc.,1.26,22499244.18,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd
Nasdaq,GNMX,Aevi Genomic Medicine: Inc.,1.1,71243570.2,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnmx
Nasdaq,AFMD,Affimed N.V.,4.52,282174198.4,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd
Nasdaq,AGEN,Agenus Inc.,2.3,275960819.5,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen
Nasdaq,AGRX,Agile Therapeutics: Inc.,0.853,29323861.64,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx
Nasdaq,AGYS,Agilysys: Inc.,16.7,392922793.7,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys
Nasdaq,AGIO,Agios Pharmaceuticals: Inc.,63.69,3705399874,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio
Nasdaq,AGMH,AGM Group Holdings Inc.,38.36,817683869.8,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh
Nasdaq,AGNC,AGNC Investment Corp.,17.73,9253802500,n/a,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc
Nasdaq,AGNCB,AGNC Investment Corp.,25.5,8834477117,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb
Nasdaq,AGNCN,AGNC Investment Corp.,25.62,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn
Nasdaq,AGFS,AgroFresh Solutions: Inc.,4.21,212349074.1,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs
Nasdaq,AGFSW,AgroFresh Solutions: Inc.,0.17,0,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw
Nasdaq,ALRN,Aileron Therapeutics: Inc.,2.17,32004190.75,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn
Nasdaq,AIMT,Aimmune Therapeutics: Inc.,23.65,1388981244,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt
Nasdaq,AIRT,Air T: Inc.,30.3,61921292.1,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt
Nasdaq,ATSG,Air Transport Services Group: Inc,18.38,1085897513,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg
